

 JOB_ID#   = 1
 Beamline  = BL45XU
 FILE_NAME = /user/admin45/Data/250718_BL45XU/check02/noxray_??????.h5
 starting_serial = 1
 JOB_MODE  = Crystal Check
 Beam shape = rectangle, Beam size = 50.0[um] x 50.0[um] (h x w)
 DETECTOR  = PAD (EIGER16M) :
 DATA COLLECTION_PARAMETERS :
  scan_from = 0.000[deg], scan_to = 10.000[deg], scan_step = 0.100[deg]
  sampling_interval = 1, number_of_images = 100 x 1
  delay_time = 200.0[msec], cameralength = 150.0[mm], attenuator = Al 2586[um] (T=0.0100)
  ver. offset = 0.0[mm], hor. offset = 0.0[mm]
  inverse_beam = no
  wavelength = 0.77500, expose_time = 0.02[sec]

               DataSet, ImageNum, Wavelength, ExposeTime, StartAngle, OscAngle, FileName, RingCurrent, I0, Time ,Date
 SCAN_STATUS000065 = 1,  65,  0.77500,  0.02,  6.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000066 = 1,  66,  0.77500,  0.02,  6.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000067 = 1,  67,  0.77500,  0.02,  6.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000068 = 1,  68,  0.77500,  0.02,  6.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000069 = 1,  69,  0.77500,  0.02,  6.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000070 = 1,  70,  0.77500,  0.02,  6.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000071 = 1,  71,  0.77500,  0.02,  7.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000072 = 1,  72,  0.77500,  0.02,  7.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000073 = 1,  73,  0.77500,  0.02,  7.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000074 = 1,  74,  0.77500,  0.02,  7.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000075 = 1,  75,  0.77500,  0.02,  7.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000076 = 1,  76,  0.77500,  0.02,  7.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000077 = 1,  77,  0.77500,  0.02,  7.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000078 = 1,  78,  0.77500,  0.02,  7.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000079 = 1,  79,  0.77500,  0.02,  7.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000080 = 1,  80,  0.77500,  0.02,  7.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000081 = 1,  81,  0.77500,  0.02,  8.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000082 = 1,  82,  0.77500,  0.02,  8.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000083 = 1,  83,  0.77500,  0.02,  8.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000084 = 1,  84,  0.77500,  0.02,  8.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000085 = 1,  85,  0.77500,  0.02,  8.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000086 = 1,  86,  0.77500,  0.02,  8.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000087 = 1,  87,  0.77500,  0.02,  8.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000088 = 1,  88,  0.77500,  0.02,  8.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000089 = 1,  89,  0.77500,  0.02,  8.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000090 = 1,  90,  0.77500,  0.02,  8.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000091 = 1,  91,  0.77500,  0.02,  9.000,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000092 = 1,  92,  0.77500,  0.02,  9.100,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000093 = 1,  93,  0.77500,  0.02,  9.200,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000094 = 1,  94,  0.77500,  0.02,  9.300,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000095 = 1,  95,  0.77500,  0.02,  9.400,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000096 = 1,  96,  0.77500,  0.02,  9.500,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000097 = 1,  97,  0.77500,  0.02,  9.600,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000098 = 1,  98,  0.77500,  0.02,  9.700,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000099 = 1,  99,  0.77500,  0.02,  9.800,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
 SCAN_STATUS000100 = 1,  100,  0.77500,  0.02,  9.900,  0.100,  noxray_data_000001.h5, 100.00, -10.00, 12:04:50, 2025/07/18
